"";"x"
"1";"Austria"
"2";"Belgium-Brussels"
"3";"Belgium-Wallonia"
"4";"Bulgaria"
"5";"Cyprus"
"6";"Czech Republic"
"7";"Denmark"
"8";"Estonia"
"9";"Finland"
"10";"France"
"11";"Germany East"
"12";"Germany West"
"13";"Greece"
"14";"Hungary"
"15";"Italy"
"16";"Latvia"
"17";"Lithuania"
"18";"Luxembourg"
"19";"Netherlands"
"20";"Norway"
"21";"Poland"
"22";"Portugal"
"23";"Republic of Ireland"
"24";"Romania"
"25";"Slovakia"
"26";"Slovenia"
"27";"Spain"
"28";"Sweden"
"29";"Switzerland"
"30";"United Kingdom"
